TrueAbun,SPP1.Est,SPP1.StdErrSpp,SPP1.StdErrGLMM,SPP1.ODTrad,SPP1.ODMed,SPP1.ODGT0,SPP1.ODPerc,SPP2.Est,SPP2.StdErrSpp,SPP2.StdErrGLMM,SPP2.ODTrad,SPP2.ODMed,SPP2.ODGT0,SPP2.ODPerc,SPP3.Est,SPP3.StdErrSpp,SPP3.StdErrGLMM,SPP3.ODTrad,SPP3.ODMed,SPP3.ODGT0,SPP3.ODPerc,SPP4.Est,SPP4.StdErrSpp,SPP4.StdErrGLMM,SPP4.ODTrad,SPP4.ODMed,SPP4.ODGT0,SPP4.ODPerc,SRS.Est,SRS.StdErr
1016,1086.95221084436,85.1525430852209,59.216221064466,1,1,3.3307724393862,1.64792008931918,1087.56430706799,85.2546276451323,55.0629557594395,1,1,2.7715249444494,1.50302488979376,1091.85016236707,85.8924690188836,53.6662648992581,1,1,2.55656596555179,1.38025066073656,1089.41246846484,85.6607029674182,49.0289937510791,1,1,2.04897931054816,1.5897552333475,1207.48299319728,158.764143415089
998,1185.30642713402,88.8155172738406,60.9060612205638,1,1,3.30123689608555,1.38953628713957,1185.51127866046,88.8517442057567,57.988509929425,1,1,2.90599447946272,1.30634045641065,1187.71499117318,89.1222793019409,54.8161986779878,1,1,2.49161409487924,1.50487222382249,1188.35585376894,89.3093781602987,48.0596736845285,1,1,1.773483862219,1.90837852177647,1318.02721088436,170.893656759383
1022,1096.34667403558,85.5985020137789,85.6304400461459,1.16419004661876,1,8.62873870689441,3.64713171335326,1096.62054338261,85.6816464449375,65.683967223788,1,1,4.73038336388594,1.93443735370488,1096.54637743213,85.7749366035634,58.9389911615792,1,1,3.64703668079706,1.80645869839566,1095.12493685524,87.7785503217441,39.0660494531794,1,1,1.28182386622271,1.45446123080149,1215.98639455783,168.627263701463
1001,1045.04387316599,83.2510849716818,60.0641949880168,1,1,4.13423899879229,1.85346551717215,1045.70918592165,83.3216396862459,51.7916413281208,1,1,2.9017272301505,1.68485424805152,1047.7349152453,83.5735550538007,49.3701947971132,1,1,2.53762762825333,1.73459563581634,1036.59373936599,83.5028435390951,32.8517337098038,1,1,1,1.25599052415567,1164.96598639456,157.414890123075
1035,885.546743847288,76.6810955708909,49.7336159740874,1,1,3.34145813929578,1.3651488069171,886.084149114632,76.7443207401859,48.8843263669201,1,1,3.18882594889833,1.31486715805719,886.153236141374,76.7554714928588,48.0889743390803,1,1,3.04823694130843,1.44794917902646,886.443833338744,76.7872173435505,45.816503806544,1,1,2.69281156467575,1.6003613309944,986.394557823132,148.182653082242
1016,985.382729363846,81.4235776916679,64.5510642318612,1,1,4.85480994452587,2.11998764223826,985.683657357241,81.5061090433693,62.8288556490619,1,1,4.49499189946213,1.95936169684842,986.468006724188,81.7689707833105,53.4363496016361,1,1,2.99611882906939,1.77071133705839,984.015316176262,81.8157738375584,43.219207300887,1,1,1.74118986526404,1.77219109815486,1088.43537414966,142.716481875492
1024,984.725090579803,80.8480661736317,59.3520923721808,1,1,4.27302626898769,1.57902480896463,984.481954075989,80.83052155382,55.7500317897769,1,1,3.69479247855949,1.65988991655149,986.345249769385,81.0765340176079,49.7397068779538,1,1,2.79795276535128,1.66170204667328,986.59842652265,81.1639280588847,41.6237317246574,1,1,1.7849151384938,2.1043752555992,1096.93877551021,182.872535073099
1022,1183.28146725408,89.5789918905335,73.8538646000627,1,1,4.72101481261931,1.9633733074417,1180.03161673435,89.3347370533508,64.2398684815449,1,1,3.38269166230805,2.12836736601326,1180.19638243812,89.5644580865858,59.3272719101146,1,1,2.74760962349597,2.14987927498117,1178.31494016298,89.4307011625437,55.2697967273191,1,1,2.27877067169882,2.48540375910825,1301.02040816327,174.048362214864
954,909.988486952003,77.8143408200738,47.6045159610764,1,1,3.24722207025492,1.30939158909458,909.214338478899,77.7340862596202,46.0618078055943,1,1,2.97456985774524,1.36030182959719,910.540517237027,77.8861911739692,43.9543709120429,1,1,2.60954592962718,1.54202546196159,911.067848839474,77.9895253706688,42.3370253463186,1,1,2.3465054964953,1.83599151317112,1011.90476190477,135.055836844278
984,990.722476669818,81.4898634296664,61.3395643110705,1,1,4.20072719984685,1.58878398943922,990.52697228017,81.5068763286229,58.4659854906474,1,1,3.73814352652591,1.69475173888794,991.692692180032,81.720709348734,57.414915344534,1,1,3.54260300148749,1.99477438407567,992.923787967368,82.0466588771769,55.9766169800088,1,1,3.28599504520555,2.48457324829729,1096.93877551021,160.93747791105
964,911.494400254394,77.9872042504231,48.2732013064766,1,1,3.42300946606204,1.72181927182896,909.771190681232,77.7933689850484,46.5267179517179,1,1,3.14668186894836,1.53799727697116,910.561466314142,77.8981855350002,44.624310131722,1,1,2.81889826111381,2.0875753337332,909.916807760339,77.8254722570238,35.417181720609,1,1,1.57220645961065,1.68046499998022,1011.90476190477,154.480558018419
